pdb_id,structure_name,organism,resolution,space_group,crystal_system,unit_cell_a,unit_cell_b,unit_cell_c,unit_cell_alpha,unit_cell_beta,unit_cell_gamma,crystal_method,mean_bfactor,min_bfactor,max_bfactor,bfactor_range
5V39,Crystal structure of human vitamin D receptor ligand binding domain in complex with a VDRM,Homo sapiens,2.2,P 21 21 21,Orthorhombic,44.0,52.67,105.88,90.0,90.0,90.0,VAPOR DIFFUSION,21.54,5.79,94.99,89.2
6XZH,Structure of zVDR LBD-Calcitriol in complex with chimera 10,Danio rerio,2.372,P 65 2 2,Hexagonal,66.09,66.09,260.14,90.0,90.0,120.0,"VAPOR DIFFUSION, HANGING DROP",85.93,47.71,177.7,129.99
6XZI,Structure of zVDR LBD-calcitriol in complex with chimera 11,Danio rerio,2.1,P 65 2 2,Hexagonal,66.35,66.35,262.37,90.0,90.0,120.0,"VAPOR DIFFUSION, HANGING DROP",57.55,31.63,119.86,88.23
6XZJ,Structure of zVDR LBD-Calcitriol in complex with chimera 12,Danio rerio,2.1,P 65 2 2,Hexagonal,66.2,66.2,254.22,90.0,90.0,120.0,"VAPOR DIFFUSION, HANGING DROP",64.92,39.22,139.16,99.94
6XZK,Structure of zVDR LBD-Calcitriol in complex with chimera 13,Danio rerio,2.0,P 65 2 2,Hexagonal,66.112,66.112,262.488,90.0,90.0,120.0,"VAPOR DIFFUSION, HANGING DROP",48.89,27.0,109.56,82.56
6XZV,Structure of zVDR LBD-Calcitriol in complex with chimera 18,Danio rerio,2.3,P 65 2 2,Hexagonal,66.244,66.244,252.522,90.0,90.0,120.0,"VAPOR DIFFUSION, HANGING DROP",73.76,43.48,156.88,113.4
3B0T,Human VDR ligand binding domain in complex with maxacalcitol,Homo sapiens,1.3,P 21 21 21,Orthorhombic,45.013,51.377,132.121,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",15.89,8.93,35.08,26.15
7QPP,High resolution structure of human VDR ligand binding domain in complex with calcitriol,Homo sapiens,1.52,P 21 21 21,Orthorhombic,44.926,51.317,132.317,90.0,90.0,90.0,"VAPOR DIFFUSION, HANGING DROP",16.69,4.34,76.45,72.11
8PWD,Crystal structure of VDR in complex Des-C-Ring and Aromatic-D-Ring analog 3c,Danio rerio,2.8,P 65 2 2,Hexagonal,66.633,66.633,265.644,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",112.57,69.65,206.45,136.8
8PWE,Crystal structure of VDR complex with Novel Des-C-Ring and Aromatic-D-Ring analog 3a,Danio rerio,2.0,P 65 2 2,Hexagonal,65.8,65.8,263.387,90.0,90.0,120.0,"VAPOR DIFFUSION, SITTING DROP",49.17,24.79,113.89,89.1
